date,open,max,min,close,Negative,Neutral,Positive
2020/1/2 9:31,3066.34,3070.92,3066.34,3070.58,4,3,2
2020/1/2 9:32,3069.72,3070.91,3069.68,3070.04,9,4,6
2020/1/2 9:33,3069.79,3072.9,3069.79,3072.9,5,3,2
2020/1/2 9:34,3072.48,3073.73,3072.48,3073.31,8,3,5
2020/1/2 9:35,3073.11,3073.58,3071.4,3072.04,7,8,4
2020/1/2 9:36,3070.97,3070.97,3070.22,3070.6,13,4,4
2020/1/2 9:37,3070.6,3074.16,3070.6,3074.12,7,5,4
2020/1/2 9:38,3074.78,3076.03,3074.78,3076.03,5,2,5
2020/1/2 9:39,3076.21,3076.21,3074.78,3075.44,3,4,7
2020/1/2 9:40,3074.63,3076.03,3074.22,3075.97,3,3,2
2020/1/2 9:41,3075.63,3076.39,3075.19,3075.2,2,1,3
2020/1/2 9:42,3075.11,3075.61,3074.59,3074.95,4,3,1
2020/1/2 9:43,3074.27,3074.81,3073.68,3074.33,4,1,4
2020/1/2 9:44,3074.15,3074.83,3073.42,3073.42,1,2,2
2020/1/2 9:45,3073.52,3073.52,3071.08,3071.12,5,3,5
2020/1/2 9:46,3071.14,3071.14,3070.05,3070.48,11,6,3
2020/1/2 9:47,3070.53,3071.24,3070.26,3070.61,9,2,4
2020/1/2 9:48,3071.15,3072.21,3070.69,3072.06,8,3,2
2020/1/2 9:49,3072.32,3072.92,3072.27,3072.36,5,5,1
2020/1/2 9:50,3072.47,3073.08,3072.24,3072.73,3,4,2
2020/1/2 9:51,3072.7,3074.18,3072.7,3074.15,3,4,1
2020/1/2 9:52,3074.21,3074.71,3073.8,3074.49,4,6,2
2020/1/2 9:53,3074.85,3076.24,3074.6,3075.94,2,4,2
2020/1/2 9:54,3076.01,3078.49,3075.89,3078.49,3,5,7
2020/1/2 9:55,3078.87,3081.87,3078.87,3081.87,5,5,9
2020/1/2 9:56,3081.97,3082.06,3080.62,3080.62,8,5,6
2020/1/2 9:57,3079.91,3081.55,3079.91,3080.43,4,2,6
2020/1/2 9:58,3080.53,3081.82,3080.26,3081.29,3,5,3
2020/1/2 9:59,3080.94,3081.61,3080.73,3081.07,3,6,2
2020/1/2 10:00,3081.96,3084.44,3081.69,3084.44,2,6,4
2020/1/2 10:01,3083.9,3085.1,3083.9,3084.98,7,2,4
2020/1/2 10:02,3084.63,3085.5,3084.05,3084.17,2,7,6
2020/1/2 10:03,3084.38,3084.77,3084.03,3084.36,3,8,2
2020/1/2 10:04,3084.92,3087.71,3084.71,3087.05,2,2,2
2020/1/2 10:05,3086.96,3087.77,3086.96,3087.6,7,5,6
2020/1/2 10:06,3088.24,3089.15,3088.24,3088.67,2,7,7
2020/1/2 10:07,3088.01,3088.84,3088.01,3088.84,6,5,8
2020/1/2 10:08,3088.43,3089.16,3088.43,3089.04,6,4,5
2020/1/2 10:09,3088.99,3089,3087.3,3087.56,4,6,2
2020/1/2 10:10,3086.78,3087.27,3086.01,3086.01,4,5,2
2020/1/2 10:11,3086.28,3087.95,3086,3087.19,6,6,3
2020/1/2 10:12,3087.93,3088.06,3087.26,3087.4,3,4,5
2020/1/2 10:13,3088.02,3088.28,3087.13,3088.07,4,2,6
2020/1/2 10:14,3087.81,3089.04,3087.63,3088.4,2,5,1
2020/1/2 10:15,3088.56,3089.1,3088.12,3088.44,5,5,5
2020/1/2 10:16,3088.25,3088.76,3087.8,3088.05,6,3,5
2020/1/2 10:17,3087.06,3088.8,3087.06,3088.18,4,4,2
2020/1/2 10:18,3088.52,3088.95,3087.77,3087.78,6,1,6
2020/1/2 10:19,3088.13,3088.13,3087.31,3087.75,9,2,3
2020/1/2 10:20,3087.34,3087.38,3086.33,3086.33,3,5,4
2020/1/2 10:21,3086.38,3086.75,3085.46,3085.46,6,2,1
2020/1/2 10:22,3086.01,3087.06,3085.81,3086.73,6,3,6
2020/1/2 10:23,3087.72,3087.99,3086.91,3087.55,7,4,3
2020/1/2 10:24,3088.11,3088.15,3087.53,3087.86,3,3,2
2020/1/2 10:25,3089.34,3089.34,3087.82,3089.1,2,1,3
2020/1/2 10:26,3089.76,3090.38,3089.34,3090.38,3,6,2
2020/1/2 10:27,3090.67,3091.74,3090.38,3091.74,7,6,2
2020/1/2 10:28,3091.67,3092.94,3091.67,3092.94,1,4,4
2020/1/2 10:29,3093.04,3093.87,3092.8,3093.56,7,10,5
2020/1/2 10:30,3093.89,3093.93,3092.42,3092.42,8,5,1
2020/1/2 10:31,3092.43,3092.98,3092.43,3092.69,7,4,6
