content,read,time,class_label
利好利空，一律按照利空看待。,223,2021/1/2 9:32,Negative
这么大的口子又要用几天回补,274,2021/1/2 9:38,Negative
银行掩护资金出逃,292,2021/1/2 9:42,Negative
这就是所谓的超级大利好，真的好大，好牛,286,2021/1/2 9:43,Positive
别光涨指数啊！哎。,223,2021/1/2 9:58,Positive
牛,213,2021/1/2 10:00,Positive
他妈的这么涨又不敢买，之前卖了，以为要回调，现在追,477,2021/1/2 10:02,Positive
河边牛儿吃青草不知杂刀半空悬牛郎织女泪双流回头已是,748,2021/1/2 10:07,Negative
有些人开始减仓不适应股市高速发展 出现恐高症了，这,268,2021/1/2 10:07,Positive
屁都不跟俗称三毛，自选里最低价，,225,2021/1/2 10:07,Negative
清仓的时候到了。勿追高，把剩下的全出了，一股不剩,253,2021/1/2 10:11,Negative
放量大涨已经是太牛啦,209,2021/1/2 10:11,Positive
加油干,198,2021/1/2 10:13,Positive
花无三日红，兔子的尾巴很漂亮。,227,2021/1/2 10:14,Neutral
涨成这逼样都不知道买啥！一买就跌！不买就涨！真尼玛,327,2021/1/2 10:20,Neutral
今天“股战场”动向证券所新股民开户带增，外国股民看,227,2021/1/2 10:24,Neutral
踏空了！不是我的菜就只能放弃了！不符合自己买入的规,362,2021/1/2 10:31,Positive
可以关注武汉凡谷（002194）和昂立教育（600661）这两,287,2021/1/2 10:39,Neutral
哎呀，这大盘涨的，我的个股都跟不上啊，心里有点虚。,198,2021/1/2 10:49,Positive
空仓的我，内心无比难受！,219,2021/1/2 10:50,Negative
今天是假的涨！？？,231,2021/1/2 10:52,Positive
大盘放量超买，落袋为安，买超跌ST避险，关注601113。,251,2021/1/2 10:52,Negative
多冲一些啊，好卖啊，涨的太少了,195,2021/1/2 10:57,Positive
快跑快跑快跑快跑快跑快跑快跑,223,2021/1/2 11:02,Negative
转发,241,2021/1/2 11:05,Neutral
癌股指数工行抢风头？,294,2021/1/2 11:13,Negative
头肩底成立，少说也要上3250,334,2021/1/2 11:17,Positive
"一日游结束,下午开始补缺口",306,2021/1/2 11:23,Negative
要跳水？,305,2021/1/2 11:26,Negative
太疯狂，怕了！[滴汗][滴汗][滴汗][滴汗],266,2021/1/2 11:27,Negative
拉稀了，我已清仓，接盘侠上,268,2021/1/2 11:27,Negative
显然3100不是问题了，最重要的是人气的保持、火热以及,367,2021/1/2 11:29,Positive
没有什么大牛市，除了少数个别的股票，99%的票都高估,408,2021/1/2 13:09,Negative
压制券商什么也别想干,273,2021/1/2 13:20,Neutral
掩护茅台出货,265,2021/1/2 13:20,Neutral
努力添加筹码呐，各位骚年们，加油加油加油，么么哒么,251,2021/1/2 13:20,Positive
今天是周四，但昨天没有休息，所以明天才是周四砸盘日,294,2021/1/2 13:25,Negative
冲高回落,261,2021/1/2 13:32,Negative
砸,257,2021/1/2 13:35,Negative
等待爆发,214,2021/1/2 13:45,Neutral
大盘与个股量能走势都非常健康，可以满仓，但不要频繁,561,2021/1/2 13:57,Positive
老规矩，跳水发套，1.2.3开始你的表演！[献花][献花][,275,2021/1/2 14:04,Negative
大盘KDJ60分钟开始下行出货，让机构们去互相残杀了。,313,2021/1/2 14:05,Negative
最后一个小时不跳水，说明今天追高的散户能挣到钱，牛,473,2021/1/2 14:09,Negative
.30分暴涨,243,2021/1/2 14:27,Positive
康盛股份，哈哈，中值系好牛逼啊,243,2021/1/2 14:44,Neutral
快跑啊！明天要暴跌了,325,2021/1/2 14:45,Negative
券商股不是那么好炒的，注册制降准对券商都是利好，特,411,2021/1/2 14:51,Neutral
